Date,"Barkley Marathons"
2015-07-01,101
2015-07-02,122
2015-07-03,95
2015-07-04,107
2015-07-05,92
2015-07-06,158
2015-07-07,108
2015-07-08,112
2015-07-09,116
2015-07-10,144
2015-07-11,116
2015-07-12,123
2015-07-13,172
2015-07-14,167
2015-07-15,128
2015-07-16,115
2015-07-17,116
2015-07-18,80
2015-07-19,131
2015-07-20,128
2015-07-21,143
2015-07-22,140
2015-07-23,139
2015-07-24,106
2015-07-25,80
2015-07-26,101
2015-07-27,105
2015-07-28,320
2015-07-29,163
2015-07-30,149
2015-07-31,106
2015-08-01,102
2015-08-02,91
2015-08-03,193
2015-08-04,99
2015-08-05,104
2015-08-06,99
2015-08-07,93
2015-08-08,137
2015-08-09,83
2015-08-10,139
2015-08-11,118
2015-08-12,110
2015-08-13,102
2015-08-14,93
2015-08-15,93
2015-08-16,109
2015-08-17,93
2015-08-18,121
2015-08-19,151
2015-08-20,105
2015-08-21,156
2015-08-22,425
2015-08-23,181
2015-08-24,150
2015-08-25,261
2015-08-26,134
2015-08-27,108
2015-08-28,124
2015-08-29,121
2015-08-30,130
2015-08-31,152
2015-09-01,131
2015-09-02,114
2015-09-03,114
2015-09-04,96
2015-09-05,105
2015-09-06,130
2015-09-07,112
2015-09-08,121
2015-09-09,99
2015-09-10,249
2015-09-11,142
2015-09-12,107
2015-09-13,1297
2015-09-14,615
2015-09-15,272
2015-09-16,197
2015-09-17,255
2015-09-18,233
2015-09-19,162
2015-09-20,176
2015-09-21,159
2015-09-22,151
2015-09-23,117
2015-09-24,133
2015-09-25,129
2015-09-26,100
2015-09-27,131
2015-09-28,116
2015-09-29,117
2015-09-30,121
2015-10-01,113
2015-10-02,122
2015-10-03,62
2015-10-04,103
2015-10-05,141
2015-10-06,115
2015-10-07,89
2015-10-08,131
2015-10-09,108
2015-10-10,77
2015-10-11,100
2015-10-12,98
2015-10-13,94
2015-10-14,194
2015-10-15,113
2015-10-16,100
2015-10-17,91
2015-10-18,113
2015-10-19,105
2015-10-20,128
2015-10-21,113
2015-10-22,125
2015-10-23,118
2015-10-24,110
2015-10-25,112
2015-10-26,132
2015-10-27,139
2015-10-28,98
2015-10-29,102
2015-10-30,98
2015-10-31,231
2015-11-01,129
2015-11-02,118
2015-11-03,170
2015-11-04,375
2015-11-05,250
2015-11-06,167
2015-11-07,136
2015-11-08,199
2015-11-09,129
2015-11-10,153
2015-11-11,130
2015-11-12,114
2015-11-13,87
2015-11-14,145
2015-11-15,98
2015-11-16,111
2015-11-17,120
2015-11-18,117
2015-11-19,103
2015-11-20,121
2015-11-21,60
2015-11-22,99
2015-11-23,130
2015-11-24,113
2015-11-25,158
2015-11-26,224
2015-11-27,173
2015-11-28,161
2015-11-29,164
2015-11-30,217
2015-12-01,230
2015-12-02,315
2015-12-03,250
2015-12-04,326
2015-12-05,179
2015-12-06,140
2015-12-07,200
2015-12-08,268
2015-12-09,323
2015-12-10,224
2015-12-11,238
2015-12-12,221
2015-12-13,241
2015-12-14,230
2015-12-15,196
2015-12-16,151
2015-12-17,155
2015-12-18,133
2015-12-19,140
2015-12-20,147
2015-12-21,164
2015-12-22,344
2015-12-23,150
2015-12-24,149
2015-12-25,122
2015-12-26,137
2015-12-27,170
2015-12-28,261
2015-12-29,205
2015-12-30,145
2015-12-31,173
2016-01-01,159
2016-01-02,213
2016-01-03,198
2016-01-04,208
2016-01-05,185
2016-01-06,165
2016-01-07,155
2016-01-08,151
2016-01-09,127
2016-01-10,148
2016-01-11,145
2016-01-12,144
2016-01-13,126
2016-01-14,140
2016-01-15,156
2016-01-16,127
2016-01-17,175
2016-01-18,205
2016-01-19,226
2016-01-20,149
2016-01-21,108
2016-01-22,120
2016-01-23,129
2016-01-24,143
2016-01-25,121
2016-01-26,164
2016-01-27,145
2016-01-28,241
2016-01-29,2282
2016-01-30,766
2016-01-31,389
2016-02-01,364
2016-02-02,239
2016-02-03,160
2016-02-04,151
2016-02-05,121
2016-02-06,89
2016-02-07,117
2016-02-08,116
2016-02-09,175
2016-02-10,216
2016-02-11,157
2016-02-12,170
2016-02-13,187
2016-02-14,204
2016-02-15,260
2016-02-16,294
2016-02-17,278
2016-02-18,200
2016-02-19,213
2016-02-20,152
2016-02-21,227
2016-02-22,223
2016-02-23,197
2016-02-24,177
2016-02-25,180
2016-02-26,308
2016-02-27,207
2016-02-28,259
2016-02-29,219
2016-03-01,382
2016-03-02,345
2016-03-03,302
2016-03-04,341
2016-03-05,398
2016-03-06,596
2016-03-07,732
2016-03-08,726
2016-03-09,978
2016-03-10,1299
2016-03-11,2119
2016-03-12,3290
2016-03-13,5258
2016-03-14,6793
2016-03-15,6025
2016-03-16,6148
2016-03-17,6251
2016-03-18,6273
2016-03-19,7615
2016-03-20,9632
2016-03-21,9329
2016-03-22,6968
2016-03-23,5942
2016-03-24,5935
2016-03-25,5969
2016-03-26,6243
2016-03-27,7517
2016-03-28,7357
2016-03-29,6128
2016-03-30,5243
2016-03-31,5162
2016-04-01,4484
2016-04-02,4976
2016-04-03,12872
2016-04-04,7597
2016-04-05,7677
2016-04-06,4884
2016-04-07,6575
2016-04-08,6662
2016-04-09,3454
2016-04-10,3796
2016-04-11,3603
2016-04-12,3196
2016-04-13,2641
2016-04-14,2116
2016-04-15,2020
2016-04-16,2205
2016-04-17,2489
2016-04-18,2607
2016-04-19,4569
2016-04-20,3361
2016-04-21,2039
2016-04-22,1851
2016-04-23,2316
2016-04-24,3284
2016-04-25,2663
2016-04-26,2192
2016-04-27,2646
2016-04-28,2627
2016-04-29,2118
2016-04-30,2168
2016-05-01,2795
2016-05-02,2385
2016-05-03,1961
2016-05-04,1674
2016-05-05,1480
2016-05-06,1535
2016-05-07,2076
2016-05-08,2492
2016-05-09,2036
2016-05-10,1579
2016-05-11,1330
2016-05-12,1370
2016-05-13,1354
2016-05-14,1364
