Date,"Robotics"
2015-07-01,1598
2015-07-02,1510
2015-07-03,1268
2015-07-04,1197
2015-07-05,1416
2015-07-06,1623
2015-07-07,1773
2015-07-08,1772
2015-07-09,1528
2015-07-10,1422
2015-07-11,1231
2015-07-12,1199
2015-07-13,1627
2015-07-14,1800
2015-07-15,1460
2015-07-16,1517
2015-07-17,1309
2015-07-18,1245
2015-07-19,1148
2015-07-20,1502
2015-07-21,1531
2015-07-22,1504
2015-07-23,1499
2015-07-24,1426
2015-07-25,1154
2015-07-26,1373
2015-07-27,1431
2015-07-28,1555
2015-07-29,1486
2015-07-30,1547
2015-07-31,1610
2015-08-01,1242
2015-08-02,1322
2015-08-03,1507
2015-08-04,1666
2015-08-05,1561
2015-08-06,2051
2015-08-07,1379
2015-08-08,1303
2015-08-09,1422
2015-08-10,1586
2015-08-11,1546
2015-08-12,1770
2015-08-13,1593
2015-08-14,1343
2015-08-15,1151
2015-08-16,1315
2015-08-17,1747
2015-08-18,1782
2015-08-19,1750
2015-08-20,1847
2015-08-21,1849
2015-08-22,1447
2015-08-23,1491
2015-08-24,1820
2015-08-25,1985
2015-08-26,2045
2015-08-27,2209
2015-08-28,1722
2015-08-29,1185
2015-08-30,1333
2015-08-31,1785
2015-09-01,1787
2015-09-02,1961
2015-09-03,1809
2015-09-04,1720
2015-09-05,1305
2015-09-06,1490
2015-09-07,1727
2015-09-08,2011
2015-09-09,2052
2015-09-10,2159
2015-09-11,1979
2015-09-12,1513
2015-09-13,1624
2015-09-14,2398
2015-09-15,2147
2015-09-16,2042
2015-09-17,1857
2015-09-18,1693
2015-09-19,1523
2015-09-20,1457
2015-09-21,2073
2015-09-22,2070
2015-09-23,1707
2015-09-24,1800
2015-09-25,1734
2015-09-26,1347
2015-09-27,1427
2015-09-28,1921
2015-09-29,2034
2015-09-30,1976
2015-10-01,1671
2015-10-02,1690
2015-10-03,1416
2015-10-04,1603
2015-10-05,1947
2015-10-06,2090
2015-10-07,2085
2015-10-08,1994
2015-10-09,1793
2015-10-10,2077
2015-10-11,1553
2015-10-12,1938
2015-10-13,2014
2015-10-14,1920
2015-10-15,1907
2015-10-16,1816
2015-10-17,1464
2015-10-18,1535
2015-10-19,2097
