"STATION","DATE","TAVG"
"USW00024234","1999-01-01","43"
"USW00024234","1999-01-02","40"
"USW00024234","1999-01-03","38"
"USW00024234","1999-01-04","41"
"USW00024234","1999-01-05","43"
"USW00024234","1999-01-06","44"
"USW00024234","1999-01-07","46"
"USW00024234","1999-01-08","45"
"USW00024234","1999-01-09","45"
"USW00024234","1999-01-10","50"
"USW00024234","1999-01-11","45"
"USW00024234","1999-01-12","46"
"USW00024234","1999-01-13","44"
"USW00024234","1999-01-14","48"
"USW00024234","1999-01-15","45"
"USW00024234","1999-01-16","44"
"USW00024234","1999-01-17","42"
"USW00024234","1999-01-18","47"
"USW00024234","1999-01-19","45"
"USW00024234","1999-01-20","48"
"USW00024234","1999-01-21","45"
"USW00024234","1999-01-22","42"
"USW00024234","1999-01-23","40"
"USW00024234","1999-01-24","37"
"USW00024234","1999-01-25","40"
"USW00024234","1999-01-26","40"
"USW00024234","1999-01-27","41"
"USW00024234","1999-01-28","44"
"USW00024234","1999-01-29","46"
"USW00024234","1999-01-30","39"
"USW00024234","1999-01-31","42"
"USW00024234","1999-02-01","43"
"USW00024234","1999-02-02","46"
"USW00024234","1999-02-03","44"
"USW00024234","1999-02-04","45"
"USW00024234","1999-02-05","43"
"USW00024234","1999-02-06","48"
"USW00024234","1999-02-07","42"
"USW00024234","1999-02-08","40"
"USW00024234","1999-02-09","36"
"USW00024234","1999-02-10","38"
"USW00024234","1999-02-11","43"
"USW00024234","1999-02-12","49"
"USW00024234","1999-02-13","45"
"USW00024234","1999-02-14","40"
"USW00024234","1999-02-15","41"
"USW00024234","1999-02-16","46"
"USW00024234","1999-02-17","43"
"USW00024234","1999-02-18","44"
"USW00024234","1999-02-19","44"
"USW00024234","1999-02-20","44"
"USW00024234","1999-02-21","46"
"USW00024234","1999-02-22","47"
"USW00024234","1999-02-23","46"
"USW00024234","1999-02-24","50"
"USW00024234","1999-02-25","45"
"USW00024234","1999-02-26","44"
"USW00024234","1999-02-27","46"
"USW00024234","1999-02-28","46"
"USW00024234","1999-03-01","44"
"USW00024234","1999-03-02","43"
"USW00024234","1999-03-03","44"
"USW00024234","1999-03-04","42"
"USW00024234","1999-03-05","41"
"USW00024234","1999-03-06","41"
"USW00024234","1999-03-07","41"
