"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","        Gross domestic product",-1.1,4.1,-0.6,8.7,8.0,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1,0.2,3.3,5.3,5.6,-0.5,-0.2,5.4,4.6,5.5,3.2,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4.0,2.7,3.8,4.4,4.5,4.8,4.1,1.0,1.7,2.9,3.8,3.5,2.9,1.9,-0.1,-2.5,2.6,1.6,2.2,1.8,2.5,2.9,1.6,2.2,2.9
"2","Personal consumption expenditures",1.9,2.3,2.8,6.4,1.6,3.2,4.7,2.1,7.4,2.9,2.5,0.9,5.7,2.7,2.1,4.9,4.1,6.0,6.3,5.7,3.0,5.8,3.7,2.4,3.8,6.1,5.0,-0.8,2.3,5.6,4.2,4.4,2.4,-0.3,1.4,1.5,5.7,5.3,5.2,4.1,3.4,4.2,2.9,2.0,0.2,3.7,3.5,3.9,2.9,3.5,3.8,5.3,5.3,5.1,2.5,2.6,3.2,3.8,3.6,3.1,2.2,-0.2,-1.3,1.7,1.9,1.5,1.5,2.9,3.7,2.7,2.5,2.6
"3","    Goods",2.9,2.0,3.0,7.8,-1.2,2.3,5.2,1.1,9.2,1.5,1.7,-1.0,6.3,1.8,0.6,5.1,4.0,6.0,7.1,6.3,2.0,6.2,3.1,0.8,4.2,6.5,5.2,-3.6,0.7,7.0,4.3,4.1,1.6,-2.5,1.2,0.7,6.4,7.2,5.3,5.6,1.8,3.7,2.5,0.6,-2.0,3.2,4.2,5.3,3.0,4.5,4.8,6.7,7.9,5.2,3.0,3.9,4.9,5.1,4.1,3.7,2.8,-3.0,-3.1,2.8,2.2,2.1,3.1,4.0,4.7,3.6,3.7,3.7
"4","        Durable goods",17.3,6.5,8.1,21.3,-8.3,-2.2,11.7,-0.4,21.3,-3.7,0.9,-7.6,11.8,2.0,-3.4,11.4,9.2,9.3,12.4,8.3,1.5,11.1,3.7,-2.7,10.0,12.4,10.5,-6.4,0.2,12.5,9.0,5.2,-0.5,-8.0,1.0,-0.2,14.3,14.3,10.0,9.6,2.0,5.7,2.2,-0.4,-5.4,5.7,7.5,8.0,3.9,7.5,8.2,12.1,12.8,8.6,5.2,7.4,7.2,8.3,5.5,4.4,4.8,-5.7,-6.1,5.6,5.1,6.0,6.1,7.2,7.6,5.5,6.8,5.5
"5","        Nondurable goods",-0.6,0.8,1.5,3.3,1.5,3.8,3.1,1.6,5.2,3.5,2.0,1.3,4.5,1.7,2.0,3.1,2.2,4.7,5.0,5.6,2.1,4.2,2.8,2.2,1.9,4.0,2.9,-2.4,0.9,4.8,2.3,3.6,2.6,-0.2,1.3,1.0,3.3,4.1,3.0,3.6,1.7,2.6,2.7,1.2,-0.3,1.9,2.5,3.9,2.5,2.9,2.9,3.7,5.1,3.2,1.7,1.8,3.5,3.3,3.3,3.3,1.7,-1.6,-1.7,1.6,0.9,0.4,1.8,2.6,3.4,2.7,2.1,2.8
"6","    Services",0.4,2.7,2.4,4.4,5.9,4.5,4.1,3.5,5.0,4.8,3.5,3.2,5.0,3.9,3.7,4.7,4.3,5.9,5.6,5.0,4.1,5.3,4.4,3.9,3.5,5.7,4.7,1.9,3.8,4.3,4.1,4.6,3.1,1.6,1.6,2.1,5.1,3.8,5.1,3.1,4.5,4.5,3.2,2.9,1.6,4.0,3.1,3.1,2.9,2.9,3.2,4.5,3.8,5.0,2.2,1.8,2.2,3.0,3.2,2.7,1.9,1.3,-0.3,1.2,1.7,1.2,0.6,2.4,3.2,2.3,2.0,2.1
"7","Gross private domestic investment",-3.7,26.0,-22.7,39.3,0.2,-8.2,5.6,-3.9,23.1,-0.3,-3.7,-7.2,19.2,0.4,0.3,11.9,6.8,7.9,13.8,9.0,-3.5,6.0,5.6,-6.1,10.3,11.3,10.9,-6.6,-16.2,19.1,14.3,11.6,3.5,-10.1,8.8,-12.6,9.3,27.3,-0.1,0.2,2.8,2.5,4.0,-2.6,-6.6,7.3,8.0,11.8,3.2,8.7,11.4,9.5,8.5,6.7,-5.6,-0.9,4.3,9.3,6.7,3.1,-2.5,-8.2,-21.2,14.1,6.6,11.0,6.9,5.4,4.8,-1.3,4.8,5.9
"8","    Fixed investment",18.8,9.4,-8.2,18.8,-4.1,-0.6,7.8,1.9,12.7,1.4,-0.7,-6.2,13.5,1.2,0.7,8.6,7.7,9.1,10.4,6.2,-0.9,7.0,5.9,-2.1,6.9,11.4,8.6,-5.6,-9.8,9.8,13.6,11.6,5.8,-5.9,2.7,-6.2,7.5,16.2,5.5,1.8,0.6,3.3,3.2,-1.4,-5.1,5.4,7.7,8.2,6.1,8.8,8.6,10.3,9.0,7.1,-1.4,-3.5,4.5,7.0,7.3,2.6,-1.2,-5.8,-16.0,3.1,7.1,10.0,5.6,6.3,3.4,1.7,4.8,5.2
"9","        Nonresidential",14.8,4.6,-8.7,9.1,4.2,-0.1,10.0,-1.4,10.8,6.8,1.8,-9.3,8.1,5.5,0.8,8.1,5.8,10.7,16.7,12.3,-0.3,4.8,7.0,-0.9,0.0,8.7,13.2,0.8,-9.0,5.7,10.8,13.8,10.0,0.0,6.1,-2.9,-0.4,16.7,6.6,-1.7,0.1,5.0,5.7,1.1,-3.9,2.9,7.5,7.9,9.7,9.1,10.8,10.9,9.9,9.3,-2.2,-6.9,2.5,5.6,7.7,8.0,6.9,0.6,-14.5,4.5,8.7,9.5,4.1,6.9,1.8,0.5,5.3,6.9
"10","            Structures",-9.0,5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,7.9,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8.0,-1.6,-10.8,13.9,7.1,-11.0,-2.9,0.7,2.0,1.5,-11.1,-6.0,-0.3,1.8,6.4,5.7,7.3,5.5,0.4,8.1,-1.3,-17.4,-3.6,-0.1,2.1,7.6,13.3,6.5,-18.7,-16.1,2.7,13.0,1.3,10.6,-3.0,-5.0,4.6,5.0
