DATE,PAYEMS_PC1
1940-01-01,5.75960
1941-01-01,12.95788
1942-01-01,9.89281
1943-01-01,5.87279
1944-01-01,-1.35545
1945-01-01,-3.60001
1946-01-01,3.04500
1947-01-01,5.22840
1948-01-01,2.31050
1949-01-01,-2.44805
1950-01-01,3.30453
1951-01-01,5.83783
1952-01-01,2.03840
1953-01-01,2.86487
1954-01-01,-2.41815
1955-01-01,3.36051
1956-01-01,3.41271
1957-01-01,0.93151
1958-01-01,-2.89338
1959-01-01,3.78676
1960-01-01,1.72702
1961-01-01,-0.35194
1962-01-01,2.87739
1963-01-01,1.98918
1964-01-01,2.86729
1965-01-01,4.25440
1966-01-01,5.16806
1967-01-01,2.98386
1968-01-01,3.17166
1969-01-01,3.65763
1970-01-01,0.69855
1971-01-01,0.45535
1972-01-01,3.44428
1973-01-01,4.22034
1974-01-01,1.92638
1975-01-01,-1.67341
1976-01-01,3.16070
1977-01-01,3.88936
1978-01-01,5.12027
1979-01-01,3.57762
1980-01-01,0.66279
1981-01-01,0.84013
1982-01-01,-1.76092
1983-01-01,0.67356
1984-01-01,4.71146
1985-01-01,3.15845
1986-01-01,2.01872
1987-01-01,2.63013
1988-01-01,3.19339
1989-01-01,2.53522
1990-01-01,1.37332
1991-01-01,-0.99812
1992-01-01,0.33076
1993-01-01,1.96737
1994-01-01,3.11252
1995-01-01,2.64681
1996-01-01,2.05429
1997-01-01,2.59661
1998-01-01,2.60790
1999-01-01,2.44979
2000-01-01,2.16166
2001-01-01,0.04822
2002-01-01,-1.09202
2003-01-01,-0.23517
2004-01-01,1.09677
2005-01-01,1.71929
2006-01-01,1.79909
2007-01-01,1.13093
2008-01-01,-0.54561
2009-01-01,-4.32510
2010-01-01,-0.72522
2011-01-01,1.21605
2012-01-01,1.69390
2013-01-01,1.63967
2014-01-01,1.88257
2015-01-01,2.07660
2016-01-01,1.77800
2017-01-01,1.56768
2018-01-01,1.67348
2019-01-01,.
