Country Name,Country Code,Indicator Name,Indicator Code,1951,1955,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393854749,1353631285,1260335196,1275418994,1450279330,1597765363,1596648045,1730167598,1858659218,1593854749,1459217877,1729050279,1653631285,1770391061,1850837989,1873743017,1848603352,1912290503,
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,1329281425,2003505945,1616202976,1766397064,1764976732,1863570257,2724293965,2823712992,2945227258,3900021838,3775729510,4028238743,3233001877,2326740000,1130089130,1154035780,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187952997,6736804052,8725781182,9676099740,13749769575,24225663184,33245105956,44319695565,64168383680,41310593206,51572818661,67822745138,71632934596,69376269462,65126113465,34572954933,28440561887,35420915617,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371812526.3,230306748.5,291948928.3,540977552.5,700086106.3,836718641.2,910731608,1169853126,1596260273,1853023371,2242664372,3016115601,3259292016,3040048180,3337098456,3769483126,3565036059,3694433640,3732081775,3104918356,3437166961,4110304224,
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63E+11,1.86E+11,2.14E+11,2.20E+11,1.72E+11,2.07E+11,2.89E+11,2.66E+11,2.77E+11,3.47E+11,4.62E+11,6.25E+11,7.63E+11,8.89E+11,1.19E+12,8.33E+11,1.03E+12,1.36E+12,1.55E+12,1.53E+12,1.45E+12,1.07E+12,9.88E+11,1.12E+12,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968686181,1.22E+11,1.52E+11,1.87E+11,2.49E+11,2.02E+11,2.25E+11,3.15E+11,3.76E+11,3.93E+11,4.00E+11,3.61E+11,3.61E+11,3.84E+11,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,4999999950,4508960597,3895791555,5445263190,7663966256,9515669467,6003000152,10376666929,9054444307,8747619117,12029545361,10007559520,14643450361,14561091033,15095901878,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97810932629,88655850854,80690471898,75818867911,63671789069,69822771314,71274718056,
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789960888.4,842829165.1,506749951.3,567247790.5,517226119.4,351337813,371135631.4,332378715.8,359865213.1,383089748.7,446832960,539539869.6,697610534.6,902545052.4,1063499859,1411788277,1491343148,1766287388,1754799663,1338222814,1928927462,2409446528,2927398423,3153950546,3316273474,3137295852,3495833404,4305428819,
