"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393854748.60335","1353631284.9162","1260335195.53073","1275418994.41341","1450279329.60894","1597765363.12849","1596648044.69274","1730167597.76536","1858659217.87709","1593854748.60335","1459217877.09497","1729050279.32961","1653631284.9162","1770391061.45251","1850837988.82682","1873743016.75978","1848603351.95531","1912290502.7933","",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","1329281425.16863","2003505945.37477","1616202976.30506","1766397063.50518","1764976731.56271","1863570256.68007","2724293965.24313","2823712992.37417","2945227257.64192","3900021837.99266","3775729510.13173","4028238743.23619","3233001877.03178","2326740000.09768","1130089130.43478","1154035780.05115","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8187952996.90344","6736804052.06298","8725781181.80022","9676099739.56623","13749769575.3243","24225663183.7639","33245105956.2189","44319695565.281","64168383679.8013","41310593206.4512","51572818660.8665","67822745138.1171","71632934595.8855","69376269461.6515","65126113464.9162","34572954933.3807","28440561886.9973","35420915616.9444","",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069933.049631","319090900.273501","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758072","189399541.45744","225407481.032684","302465325.386337","371812526.256257","230306748.466258","291948928.287907","540977552.49819","700086106.327426","836718641.236252","910731607.953517","1169853125.64427","1596260273.14538","1853023371.31259","2242664372.48862","3016115601.49025","3259292016.41107","3040048179.5277","3337098456.3637","3769483126.0221","3565036058.73664","3694433640.23594","3732081775.36424","3104918355.55189","3437166961.09018","4110304224.10804","",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163481126117.736","186190812302.495","213691764814.406","220163966228.121","171928684782.374","206816563285.046","288853501347.218","266440094151.651","277196199776.08","347202958703.953","462106279313.893","624750345698.728","762858844967.573","889466489085.005","1188128372634.48","832884163980.497","1029022506200.97","1364928640017.12","1546864506248.99","1531682312328.61","1451254579864.07","1070779482943.58","988362131552.036","1123819538486.08","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968686181.0755","122070796460.177","152433764465.623","186690265486.726","248808168822.328","201958883594.282","225274880871.341","314834309053.778","375797957794.418","392571272974.813","399569503063.308","361252552756.978","360626276378.489","384043567052.417","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","1147183934.48134","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.60299","4999999950.3057","4508960596.86682","3895791554.56352","5445263189.7662","7663966255.62989","9515669466.75192","6003000151.64854","10376666928.8033","9054444307.18032","8747619117.06127","12029545360.5898","10007559520.4417","14643450361.4013","14561091033.0362","15095901877.6499","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97810932629.3764","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69822771313.5748","71274718055.5556","",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.429774","842829165.092108","506749951.25833","567247790.509983","517226119.394369","351337813.033468","371135631.409224","332378715.799676","359865213.08226","383089748.692254","446832959.975311","539539869.563651","697610534.577483","902545052.438793","1063499859.40575","1411788277.09511","1491343148.40578","1766287387.91701","1754799662.97283","1338222813.98567","1928927462.22841","2409446527.51175","2927398422.95477","3153950545.58344","3316273473.87645","3137295851.61313","3495833404.44157","4305428819.07472","",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","482000000","457000000","426000000","427000000","427000000","364000000","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","31551851.8518519","46111111.1111111","75440740.7407407","74077777.7777778","91137037.037037","93562962.962963","94029629.6296296","129688888.888889","151681481.481481","205892592.592593","226985185.185185","265525925.925926","290937037.037037","345300000","369862962.962963","407266666.666667","439285185.185185","436459259.259259","401607407.407407","402522222.222222","443288888.888889","465900000","472829629.62963","466861925.925926","445334074.074074","427865296.296296","462637925.925926","533973111.111111","545269370.37037","548169814.814815","581289333.333333","625368666.666667","561623518.518518","523833888.888889","537755740.740741","543333333.333333","545555555.555555","590740740.740741","602193555.555556","608888888.888889","","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413484152.76067","2437003023.85486","2772986896.62896","2796505767.72315","3549109642.73715","3428155448.53847","3525590771.64296","3915332064.06093","4016127225.89316","4377869862.24661","5354462985.77668","5715085675.88756","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14185049792.0081","15449644413.8564","16123392736.296","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060832943.3786","26236189096.1782","27497123571.3738","27321628427.5322","29290629962.9434","37674621653.085","45334256168.0645","47071950750.2886","52249430970.8814","54226716911.482","54747048903.8786","58015219647.1809","65793733293.7333","75814112291.3505","83327594302.7078","78166587533.0665","71285875422.9853","80697104816.9315","84096812278.6305","81986709920.4688","89076295864.8806","105368473467.065","126651631333.634","148419436957.173","172356912930.831","212503133393.017","213439846856.133","227050118911.301","299391698708.469","332126211590.019","314546014158.203","308750573762.967","269981695648.556","232584073373.126","281496342107.248","",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1532657935.92003","1682092116.85016","1816199711.6468","1961802212.17205","2145721110.28804","2375619902.29057","2581325902.37848","2744817978.26036","3024212933.07725","3646709999.69066","4210936385.28711","4828105022.57958","5940800642.89541","7945377117.15511","10245142962.3086","11254488267.3619","12352078468.9729","14409079260.6777","18066572822.894","22832410396.2944","26006990002.1272","23441765249.6976","22623842784.5446","21981186839.283","22265892373.2893","24230778531.5243","31689309598.9184","38996595559.4253","44096573609.718","46607267810.7124","59423125378.1919","60116254331.1727","64678674931.1295","59900881225.6004","65453950006.0234","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85477892606.009","85305371291.6897","88047337807.6063","96701496329.7572","116638893905.192","141025428358.58","153625979355.802","170827273867.771","204299603065.973","229126805331.771","180907557654.904","200892688044.939","232583677064.385","220981850149.848","229834282276.735","235966614250.844","202701639727.853","206257438715.632","223978845638.966","",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3885196371.82385","4014478401.50504","4302724069.23816","2281805933.31096","819242649.705302","991644243.368955","791908858.405022","1150564617.31493","1009305138.60034","1281380203.06622","2118054168.34413","2368624503.38237","2666940958.65048","3056403991.04052","4235066653.09861","8337000211.55067","13954555630.1769","22516839529.1924","32133276533.593","22870241353.5705","28728665753.0833","37214511839.9392","36914842158.8595","35907329509.2416","32560882315.4405","20059340230.3338","17580998934.6368","19839356263.0723","",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","24499998","26250000","28000000","17500000","36750000","16452740.7407407","17828571.4285714","19257142.8571429","18861714.2857143","18371428.5714286","25945142.8571429","21329142.8571429","28961142.8571429","33526603.8537475","33674920.6349206","34839365.0793651","61551304.3478261","96342222.2222222","71443333.3333333","110822222.222222","81022222.2222222","88603333.3333333","103470000","97956966.1108123","113561106.006182","126803836.274754","140881024.787597","110260311.589511","136282900.38819","108560193.991189","89130244.3724271","115775316.368525","94756920.9276871","88062144.1515651","95016968.8478329","129318804.202468","50580560.1981833","95688945.6506315","71499431.1758513","61217971.467102","55005758.5302566","45410971.2771723","38676369.5311261","50072047.4404685","63635537.873214","69261008.8304376","92956376.4796095","92221558.6590511","169242773.917112","117576040.954033","197117152.22357","196752242.712616","226330906.445008","223097905.279872","235403200.919747","199263654.652467","189622650.232829","","",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","4407077777.67983","4837690320.53443","5381621192.67603","5948215317.59445","6782655019.44891","7293106123.9048","8144551113.87283","8533948955.23731","9590908967.71589","11570905791.1245","11944540943.929","12985250143.9026","16339002107.9644","22814673049.0582","29485786557.5808","30002169244.269","34351833333.3333","39153138998.3118","46094472268.477","57769727022.5647","63237433163.1949","56330370817.0361","53236365972.0996","52385436370.8087","53412069812.9014","53601962633.3311","68397851544.1575","83035290005.4025","95924326385.0795","103854648034.398","125863679502.656","126139836621.382","137364507026.349","125439720499.067","142339735109.718","172256841817.187","170060716612.378","162817658998.647","165214492109.358","166266034519.497","170952736318.408","168916241610.738","182017127799.737","218823476297.968","260991681152.223","284796045268.001","310274244134.989","365618122091.432","413324007616.816","335842456237.844","369665010360.546","430226231680.727","409787770863.117","425753954447.608","438799273916.308","368313868245.145","388576714708.468","424418632561.479","",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.3283418","10801828.3446839","8317361.99456439","9703490.05209447","13861514.1502658","21069299.1007541","20739915.2713466","23474433.6301209","30461094.8168297","38939712.0178981","50633283.0565214","59595404.5028899","59023791.0451078","78995251.9009445","79408573.2434805","98337358.6004389","90731935.2752976","121349816.855035","153492175.476023","207784769.85882","222261791.957198","205681871.994966","225297369.526999","150766908.094661","205805456.696281","247338434.725317","222807320.060097","238541696.086267","223654558.261557","202741075.388948","375946872.309605","417201334.67136","393976833.800644","510965402.210603","452687266.876523","593804034.832126","625667835.201242","616436678.880202","665156749.246294","637161886.382488","543136056.635593","545401094.212651","616653194.41563","741396726.739473","850866805.177813","909438883.602629","952781473.583072","1348309542.82667","1630172755.88297","1445827632.01728","1658062054.16363","1658309211.02406","1876487653.64268","2496287142.74148","3041675515.50823","2026343519.94549","2128529761.47716","2523090672.20345","",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5932969","19014523.3570401","20997594.4212122","21985472.3951019","11484234.600989","19676614.6700677","21918946.4763691","22215438.6427041","28569274.0399879","27823662.4410247","25007057.4461719","26587940.9376357","37028538.9377989","42590357.7160121","62500051.515426","69071585.0515765","80128193.5497911","90048551.0396468","110202801.789274","144182091.522441","172630524.021498","164734458.733882","143789772.682317","126168367.94676","160016224.494607","154030085.947449","183075141.081916","269185266.015942","287730467.399165","228834247.834382","340110196.070221","327535416.538908","198184577.912254","208751601.544402","269162042.425441","336477102.200468","273233009.365219","264655013.035635","359254830.522567","284956447.419355","250604488.078541","260002714.727808","294167103.546373","366324656.060914","548132371.024114","532286217.877441","673239521.268427","714349651.248459","834226578.878495","1062830722.2871","1726555038.89743","2681411103.70082","2849413870.48797","2662275761.4768","2755410148.35715","2391355091.68576","2826906191.68504","3202290578.88529","",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347691.355166","519448521.02941","546086853.304424","531067333.067804","540135770.207523","570741539.824914","662275557.021677","675028035.681699","623451537.73079","690047514.251654","747575116.132797","550621082.29095","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788426.25951","1594548362.40253","1866930004.59731","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9994813008.13008","11744907683.1447","13530306979.4382","16181037749.5992","17359874074.1602","18472449276.0536","25627346571.2845","26886637936.4819","29304945498.3092","32830360072.3104","33820154152.8479","36864997680.8994","37548748736.0971","",
