Date,"Sustainable energy"
2015-07-01,403
2015-07-02,408
2015-07-03,352
2015-07-04,220
2015-07-05,321
2015-07-06,382
2015-07-07,402
2015-07-08,471
2015-07-09,400
2015-07-10,368
2015-07-11,270
2015-07-12,272
2015-07-13,357
2015-07-14,370
2015-07-15,388
2015-07-16,379
2015-07-17,302
2015-07-18,220
2015-07-19,256
2015-07-20,366
2015-07-21,385
2015-07-22,340
2015-07-23,377
2015-07-24,331
2015-07-25,264
2015-07-26,325
2015-07-27,434
2015-07-28,413
2015-07-29,459
2015-07-30,435
2015-07-31,324
2015-08-01,253
2015-08-02,395
2015-08-03,415
2015-08-04,523
2015-08-05,470
2015-08-06,463
2015-08-07,345
2015-08-08,261
2015-08-09,360
2015-08-10,432
2015-08-11,450
2015-08-12,512
2015-08-13,499
2015-08-14,335
2015-08-15,336
2015-08-16,435
2015-08-17,441
2015-08-18,456
2015-08-19,514
2015-08-20,494
2015-08-21,380
2015-08-22,322
2015-08-23,339
2015-08-24,509
2015-08-25,491
2015-08-26,476
2015-08-27,473
2015-08-28,394
2015-08-29,262
2015-08-30,352
2015-08-31,408
2015-09-01,431
2015-09-02,518
2015-09-03,487
2015-09-04,345
2015-09-05,236
2015-09-06,349
2015-09-07,359
2015-09-08,522
2015-09-09,557
2015-09-10,1308
2015-09-11,483
2015-09-12,328
2015-09-13,519
2015-09-14,652
2015-09-15,496
2015-09-16,563
2015-09-17,502
2015-09-18,379
2015-09-19,263
2015-09-20,336
2015-09-21,510
2015-09-22,454
2015-09-23,495
2015-09-24,451
2015-09-25,410
2015-09-26,305
2015-09-27,396
2015-09-28,436
2015-09-29,535
2015-09-30,537
2015-10-01,482
2015-10-02,413
2015-10-03,323
2015-10-04,423
2015-10-05,652
2015-10-06,612
2015-10-07,602
2015-10-08,550
2015-10-09,482
2015-10-10,331
2015-10-11,368
2015-10-12,553
2015-10-13,631
2015-10-14,722
2015-10-15,602
2015-10-16,521
2015-10-17,347
2015-10-18,436
2015-10-19,677
2015-10-20,681
2015-10-21,590
2015-10-22,626
2015-10-23,510
2015-10-24,336
2015-10-25,466
2015-10-26,613
2015-10-27,671
2015-10-28,629
2015-10-29,581
2015-10-30,556
2015-10-31,357
2015-11-01,392
2015-11-02,546
2015-11-03,618
2015-11-04,556
2015-11-05,572
2015-11-06,453
2015-11-07,306
2015-11-08,420
2015-11-09,582
2015-11-10,669
2015-11-11,530
2015-11-12,594
2015-11-13,488
2015-11-14,324
2015-11-15,404
2015-11-16,774
2015-11-17,664
2015-11-18,762
2015-11-19,629
2015-11-20,503
2015-11-21,347
2015-11-22,428
2015-11-23,559
2015-11-24,652
2015-11-25,560
2015-11-26,498
2015-11-27,392
2015-11-28,365
2015-11-29,518
2015-11-30,666
2015-12-01,632
2015-12-02,612
2015-12-03,574
2015-12-04,500
2015-12-05,347
2015-12-06,455
2015-12-07,674
2015-12-08,598
2015-12-09,584
2015-12-10,565
2015-12-11,436
2015-12-12,338
2015-12-13,456
2015-12-14,565
2015-12-15,584
2015-12-16,460
2015-12-17,492
2015-12-18,355
2015-12-19,266
2015-12-20,196
2015-12-21,330
2015-12-22,315
2015-12-23,265
2015-12-24,206
2015-12-25,164
2015-12-26,215
2015-12-27,223
2015-12-28,260
2015-12-29,241
2015-12-30,268
2015-12-31,195
2016-01-01,224
2016-01-02,248
2016-01-03,331
2016-01-04,470
2016-01-05,442
2016-01-06,534
2016-01-07,621
2016-01-08,428
2016-01-09,289
2016-01-10,356
2016-01-11,479
2016-01-12,573
2016-01-13,574
2016-01-14,547
2016-01-15,431
2016-01-16,315
2016-01-17,383
2016-01-18,509
2016-01-19,562
2016-01-20,624
2016-01-21,687
2016-01-22,517
2016-01-23,406
2016-01-24,14631
2016-01-25,1266
2016-01-26,1040
2016-01-27,666
2016-01-28,826
2016-01-29,2899
2016-01-30,1926
2016-01-31,1086
2016-02-01,4451
2016-02-02,854
2016-02-03,593
2016-02-04,647
2016-02-05,555
2016-02-06,335
2016-02-07,369
2016-02-08,998
2016-02-09,731
2016-02-10,633
2016-02-11,626
2016-02-12,512
2016-02-13,348
2016-02-14,376
2016-02-15,574
2016-02-16,612
2016-02-17,669
